Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,INSDC_center_alias,Individual
ERR589504,RSZAXPI002661-50,WGS,195,5235471898,PRJEB6997,SAMEA2737659,3974536443,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547499,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:22Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002661-50,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737659,ERS537189,Illumina,ERS537189,ERP006678,Stool sample from China,BGI,
ERR589505,RSZAXPI002662-56,WGS,195,7299706666,PRJEB6997,SAMEA2737660,5514796837,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547500,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:27Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002662-56,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737660,ERS537190,Illumina,ERS537190,ERP006678,Stool sample from China,BGI,
ERR589506,RSZAXPI002663-57,WGS,195,6334221748,PRJEB6997,SAMEA2737661,4824001996,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547501,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:25Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002663-57,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737661,ERS537191,Illumina,ERS537191,ERP006678,Stool sample from China,BGI,
ERR589510,RSZAXPI002667-37,WGS,194,4450550274,PRJEB6997,SAMEA2737665,3411454482,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547505,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:23Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002667-37,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737665,ERS537195,Illumina,ERS537195,ERP006678,Stool sample from China,BGI,
ERR589513,RSZAXPI002670-43,WGS,194,5729723673,PRJEB6997,SAMEA2737668,4444254946,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547508,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:25Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002670-43,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737668,ERS537198,Illumina,ERS537198,ERP006678,Stool sample from China,BGI,
ERR589514,RSZAXPI002671-18,WGS,193,4628953908,PRJEB6997,SAMEA2737947,3583662636,BGI,2039,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547509,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:04:39Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002671-18,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737947,ERS537477,Illumina,ERS537477,ERP006678,oral sample from China,BGI,
ERR589517,RSZAXPI002674-21,WGS,192,5167655920,PRJEB6997,SAMEA2737950,4047048932,BGI,2145,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547512,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:04:39Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002674-21,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737950,ERS537480,Illumina,ERS537480,ERP006678,oral sample from China,BGI,
ERR589518,RSZAXPI002675-22,WGS,191,4678488596,PRJEB6997,SAMEA2737951,3688504170,BGI,2038,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547513,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:04:39Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002675-22,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737951,ERS537481,Illumina,ERS537481,ERP006678,oral sample from China,BGI,
ERR589519,RSZAXPI002676-23,WGS,195,1041456829,PRJEB6997,SAMEA2738105,792934961,BGI,2271,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547514,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:52:39Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002676-23,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738105,ERS537635,Illumina,ERS537635,ERP006678,oral sample from China,BGI,
ERR589520,RSZAXPI002677-24,WGS,196,1273562556,PRJEB6997,SAMEA2738106,932285257,BGI,2188,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547515,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:16Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002677-24,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738106,ERS537636,Illumina,ERS537636,ERP006678,oral sample from China,BGI,
ERR589521,RSZAXPI002678-25,WGS,197,854793226,PRJEB6997,SAMEA2738107,620753813,BGI,2175,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547516,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:52:39Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002678-25,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738107,ERS537637,Illumina,ERS537637,ERP006678,oral sample from China,BGI,
ERR589522,RSZAXPI002679-26,WGS,196,1681139931,PRJEB6997,SAMEA2738108,1232340319,BGI,2174,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547517,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:26Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002679-26,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738108,ERS537638,Illumina,ERS537638,ERP006678,oral sample from China,BGI,
ERR589524,RSZAXPI002681-31,WGS,196,3056934493,PRJEB6997,SAMEA2738110,2242620531,BGI,2172,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547519,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:26Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002681-31,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738110,ERS537640,Illumina,ERS537640,ERP006678,oral sample from China,BGI,
ERR589529,SZAXPI011676-93,WGS,196,4977661812,PRJEB6997,SAMEA2737671,3817889584,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547524,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:22Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011676-93,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737671,ERS537201,Illumina,ERS537201,ERP006678,Stool sample from China,BGI,
ERR589530,SZAXPI011679-129,WGS,194,6794688196,PRJEB6997,SAMEA2737672,5571663690,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547525,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:25Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011679-129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737672,ERS537202,Illumina,ERS537202,ERP006678,Stool sample from China,BGI,
ERR589535,SZAXPI011688-36,WGS,194,5887707282,PRJEB6997,SAMEA2737677,4846729053,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547530,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:22Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011688-36,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737677,ERS537207,Illumina,ERS537207,ERP006678,Stool sample from China,BGI,
ERR589538,SZAXPI011692-133,WGS,197,6748876192,PRJEB6997,SAMEA2737680,5000988533,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547533,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:18Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011692-133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737680,ERS537210,Illumina,ERS537210,ERP006678,Stool sample from China,BGI,
ERR589542,SZAXPI011701-109,WGS,195,7242738332,PRJEB6997,SAMEA2737683,5867137965,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547537,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:03Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011701-109,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737683,ERS537213,Illumina,ERS537213,ERP006678,Stool sample from China,BGI,
ERR589544,SZAXPI011703-95,WGS,196,5465371368,PRJEB6997,SAMEA2737685,4184567971,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547539,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:42:25Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011703-95,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737685,ERS537215,Illumina,ERS537215,ERP006678,Stool sample from China,BGI,
ERR589545,SZAXPI011706-62,WGS,196,5824487342,PRJEB6997,SAMEA2737686,4437765177,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547540,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:42:25Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011706-62,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737686,ERS537216,Illumina,ERS537216,ERP006678,Stool sample from China,BGI,
ERR589546,SZAXPI011707-123,WGS,194,7597753149,PRJEB6997,SAMEA2737687,6277029221,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547541,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:42:25Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011707-123,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737687,ERS537217,Illumina,ERS537217,ERP006678,Stool sample from China,BGI,
ERR589547,SZAXPI011710-39,WGS,196,4433731438,PRJEB6997,SAMEA2737688,3311349872,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547542,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-12-09T02:35:47Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011710-39,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737688,ERS537218,Illumina,ERS537218,ERP006678,Stool sample from China,BGI,
ERR589553,SZAXPI012057-18,WGS,194,6117353111,PRJEB6997,SAMEA2737694,4773935168,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547548,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012057-18,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737694,ERS537224,Illumina,ERS537224,ERP006678,Stool sample from China,BGI,
ERR589555,SZAXPI012059-22,WGS,195,6462126048,PRJEB6997,SAMEA2737696,5028304491,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547550,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:42:25Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012059-22,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737696,ERS537226,Illumina,ERS537226,ERP006678,Stool sample from China,BGI,
ERR589557,SZAXPI012061-27,WGS,195,6528067285,PRJEB6997,SAMEA2737698,5088160972,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547552,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:03Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012061-27,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737698,ERS537228,Illumina,ERS537228,ERP006678,Stool sample from China,BGI,
ERR589558,SZAXPI012062-30,WGS,195,6367045473,PRJEB6997,SAMEA2737699,4936140732,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547553,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:44Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012062-30,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737699,ERS537229,Illumina,ERS537229,ERP006678,Stool sample from China,BGI,
ERR589559,SZAXPI012063-31,WGS,195,5650178413,PRJEB6997,SAMEA2737700,4416029829,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547554,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:44Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012063-31,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737700,ERS537230,Illumina,ERS537230,ERP006678,Stool sample from China,BGI,
ERR589563,SZAXPI012067-35,WGS,194,5582565039,PRJEB6997,SAMEA2737704,4491951848,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547558,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012067-35,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737704,ERS537234,Illumina,ERS537234,ERP006678,Stool sample from China,BGI,
ERR589564,SZAXPI012068-36,WGS,194,7122955852,PRJEB6997,SAMEA2737705,5721434368,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547559,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:44Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012068-36,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737705,ERS537235,Illumina,ERS537235,ERP006678,Stool sample from China,BGI,
ERR589567,SZAXPI012071-41,WGS,194,6155420541,PRJEB6997,SAMEA2737708,4892841176,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547562,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:03Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012071-41,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737708,ERS537238,Illumina,ERS537238,ERP006678,Stool sample from China,BGI,
ERR589568,SZAXPI012072-43,WGS,194,5656866887,PRJEB6997,SAMEA2737709,4480289257,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547563,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:42Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012072-43,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737709,ERS537239,Illumina,ERS537239,ERP006678,Stool sample from China,BGI,
ERR589569,SZAXPI012073-44,WGS,194,6221718072,PRJEB6997,SAMEA2737710,4924254561,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547564,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:55Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012073-44,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737710,ERS537240,Illumina,ERS537240,ERP006678,Stool sample from China,BGI,
ERR589571,SZAXPI012075-46,WGS,194,6175389420,PRJEB6997,SAMEA2737712,4907639649,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547566,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:44Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012075-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737712,ERS537242,Illumina,ERS537242,ERP006678,Stool sample from China,BGI,
ERR589572,SZAXPI012076-47,WGS,194,7077402595,PRJEB6997,SAMEA2737713,5608487655,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547567,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:44Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012076-47,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737713,ERS537243,Illumina,ERS537243,ERP006678,Stool sample from China,BGI,
ERR589575,SZAXPI012080-74,WGS,196,6437889602,PRJEB6997,SAMEA2737716,4976070419,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547570,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:55Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012080-74,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737716,ERS537246,Illumina,ERS537246,ERP006678,Stool sample from China,BGI,
ERR589576,SZAXPI012081-75,WGS,195,5583841103,PRJEB6997,SAMEA2737717,4332773956,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547571,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:18Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012081-75,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737717,ERS537247,Illumina,ERS537247,ERP006678,Stool sample from China,BGI,
ERR589584,SZAXPI012242-158,WGS,196,5836159356,PRJEB6997,SAMEA2737725,4352439634,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547579,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:18Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012242-158,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737725,ERS537255,Illumina,ERS537255,ERP006678,Stool sample from China,BGI,
ERR589586,SZAXPI012244-140,WGS,196,6193481023,PRJEB6997,SAMEA2737727,4620082348,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547581,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:55Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012244-140,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737727,ERS537257,Illumina,ERS537257,ERP006678,Stool sample from China,BGI,
ERR589588,SZAXPI012246-133,WGS,196,7009432676,PRJEB6997,SAMEA2737729,5194917706,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547583,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:55Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012246-133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737729,ERS537259,Illumina,ERS537259,ERP006678,Stool sample from China,BGI,
